"Id","Employee_MonthlyIncome"
6,7608.769
8,5859.44206666667
12,3241.08003333333
19,3402.19003333333
27,6443.5252
29,8184.56466666667
63,3093.4261
64,2461.53693896104
74,3343.33248333333
76,5191.17933333333
77,8367.18306190476
78,15210.0868666667
81,6203.51416666667
85,7643.72633333333
90,15368.0759333333
98,6307.42788571429
100,3637.99668571429
101,3362.1734
106,3744.68543333333
107,6430.75113333333
109,6401.60083333333
110,3219.43761904762
111,2837.57001111111
118,5107.44283333333
124,5850.7249
133,6022.97022380952
136,5812.22950769231
145,7123.98847435897
146,4844.49243333333
153,6628.56573333333
158,11898.6907666667
165,8407.75965
168,11886.2612333333
170,4596.98830769231
174,7853.17430634921
183,4718.40633333333
187,5762.74588571428
188,15308.761
192,7593.4391
195,3069.02056666667
203,6574.27353333333
204,4050.54783333333
214,5607.62166666667
218,14646.0776666667
231,6869.40246666667
239,3547.22476666667
241,8565.55883333333
246,3351.7388
249,4856.70818571429
255,10955.2626333333
256,3496.62366666667
257,2958.46583939394
261,2811.66225
265,3103.39307619048
269,5990.92516666667
271,6076.7418
279,5659.4465
283,5774.5635
288,2994.13460952381
289,7969.6271
291,3579.09293333333
295,15200.9613333333
299,3194.88986666667
305,3936.20973333333
313,3760.2031
322,4323.68952380952
323,3896.02893333333
332,8504.90163333333
337,5307.01745
339,5490.42096666667
342,2631.60297142857
350,12370.6593333333
357,3513.47949523809
358,3586.23871428571
372,7830.71673333333
373,11497.7455
374,4062.2855
378,6452.98313333333
381,16461.4481333333
384,3101.53281666667
397,15244.7795380952
405,3789.63993333333
407,6021.44
411,3554.37306666667
417,3875.51483333333
419,6719.1539
423,6018.99104761905
429,2888.98356349206
430,6547.56293333333
435,8359.88455238095
465,3418.87161904762
472,2508.2571
476,6180.1875
479,4635.2331
491,15331.075
495,6224.8303
498,2949.3647
504,7923.93586666667
507,2483.43711666667
508,8470.44973333333
523,9821.41083333333
530,4453.5514
535,4204.98726666667
537,7520.01263333333
544,5925.88042857143
545,3552.26516666667
548,4489.78026666667
549,11315.7312142857
553,5394.5749
559,6362.26
572,2647.79575238095
578,3330.82147619048
590,3434.43628571429
600,3099.30806666667
603,9899.68228571429
624,7002.88633333333
628,10436.896452381
629,11030.1949666667
630,7930.29116666667
631,4305.40493333333
632,8506.01773809524
634,3356.81503333333
640,3443.8198
642,6020.18548571429
645,3488.9457
656,5146.218
662,3864.56446666667
664,2973.69663333333
671,10764.2666
676,15054.3230857143
678,5782.78041666667
682,3740.21533333333
683,5556.04192857143
686,8162.46233333333
691,4996.74333333333
701,2824.0843
716,2789.91647619048
717,5888.39508333333
720,7721.84633333333
724,8638.04573333333
727,4147.75526666667
730,2889.14494285714
731,5498.4588
736,5536.5812
738,6175.4748
742,9845.0665
748,6367.52835238095
757,6145.95416666667
760,15204.4926666667
776,2756.15138571429
783,3885.9965
784,5869.14363333333
788,5609.0532
790,2746.68358571429
797,12559.066852381
798,2622.09166428571
805,4849.68084047619
821,3622.10248333333
822,5528.19478333333
826,16132.7973
827,7538.9657
834,2474.32748571429
839,11825.0674
847,2385.52855844156
854,5703.44146666667
857,3249.10193333333
858,8209.16795238095
859,3631.28303333333
861,4390.51642857143
864,12024.143
865,8292.6426
866,8275.25526666667
869,3911.5308
870,4313.44153333333
